pj_no	jukyo	chiseki_js_hb	chiseki_kb_hb	yoto1	yoto2	kempei1	kempei2	yoseki1	yoseki2	josui	gesui	gas	usui	tateuri_su	tochiuri_su	joken_su	hy1f_date_su	hy2f_date_su	hy3f_date_su	road1_hk	road1_sb	road1_fi	road1_mg	road2_hk	road2_sb	road2_fi	road2_mg	road3_hk	road3_sb	road3_fi	road3_mg	road4_hk	road4_sb	road4_fi	road4_mg	kaoku_um	kaoku_hb	yheki_kotei	yheki_umu	yheki_yohi	gk_sho_kyori	gk_chu_kyori	kborjs	hw_status	toshikuiki1	toshikuiki2	kodochiku	chikukeikaku	keikakuroad	kaihatsukyoka	t53kyoka	hokakyoka	bokachiiki	minmenseki	hokakisei1	hokakisei2	hokakisei3	hokakisei4	kinshijiko	rosenka_hb	koji_hb	kijun_hb	mseki_yt_hb	mseki_rd_hb	mseki_dp_hb	tc_mseki_min_hb	tc_mseki_max_hb	tt_mseki_min_hb	tt_mseki_max_hb	tc_mseki_avg_hb	tt_mseki_avg_hb	fi4m_yohi	fi3m_yohi	fi4m_kyori	fi3m_kyori	bus_yohi	bus_hon	sho_conv	sho_super	sho_shoten	sho_market	shu_jutaku	shu_park	shu_shop	shu_factory	shu_hvline	shu_tower	shu_bochi	shu_sogi	shu_zoki	shu_kokyo	shu_highway	shu_kaido	shu_line_ari	shu_line_nashi	shu_soon	gk_yoc_tm	gk_sho_tm	gk_chu_tm	rs_e_kdate2	rs_e_kdate3	rs_e_parking	rs_e_zoki	rs_e_m_ari	rs_e_m_nashi	rs_e_tahata	rs_w_kdate2	rs_w_kdate3	rs_w_parking	rs_w_zoki	rs_w_m_ari	rs_w_m_nashi	rs_w_tahata	rs_s_kdate2	rs_s_kdate3	rs_s_parking	rs_s_zoki	rs_s_m_ari	rs_s_m_nashi	rs_s_tahata	rs_n_kdate2	rs_n_kdate3	rs_n_parking	rs_n_zoki	rs_n_m_ari	rs_n_m_nashi	rs_n_tahata	rosen_nm1	eki_nm1	bas_toho1	eki_kyori1	bastei_nm1	teiho1	rosen_nm2	eki_nm2	bas_toho2	eki_kyori2	bastei_nm2	teiho2
1437	埼玉県草加市花栗	450.94	450.94	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	北	私道	4.0	38.2			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	250	450	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	22条区域	100.0					（無）	115000	133000	115000	450.94	0.0	0.0	112.73	112.74	96.0	96.0	112.73	96.0	（不要）	（不要）	0.0	0.0	（不要）			○			○															13.0	4	6	○																		○			○							東武伊勢崎線	獨協大学前	徒歩	16								
1438	埼玉県川口市八幡木	226.55	388.85	第一種低層住居専用地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北東	公道	8.0	4.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.8	（有）	（不要）	1280	1120	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	94000	151000	210000	388.85	0.0	0.0	226.55	226.55	103.92	103.92	388.85	103.92	（不要）	（不要）	0.0	0.0	（不要）						○			○												9.0	16	14															○							○							埼玉高速鉄道線	南鳩ヶ谷	徒歩	23								
1439	埼玉県さいたま市緑区大字三室	571.53	571.53	第一種低層住居専用地域		50	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	北	公道	4.2	25.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	960	1280	実測	更地	市街化区域		指定無	（無）	（無）	（要）	（不要）	（不要）	準防火地域						（無）	105000	146000	118000	569.46	0.0	2.07	140.02	148.58	102.5	102.5	142.36	102.5	（不要）	（不要）	0.0	0.0	（要）	161.0					○															10.0	12	16	○							○							○							○							JR京浜東北線	北浦和	バス	10		6.0						
1440	埼玉県さいたま市見沼区大和田町	434.77	434.79	第一種低層住居専用地域		50	0.0	100	0.0	公営	公共下水	個別プロパン	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	北西	公道	4.0	17.8	北東	公道	4.0	6.6	南東	公道	3.2	18.1			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	1800	650	公簿	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	89000	128000	119000	434.77	0.0	0.0	107.45	111.19	98.54	105.16	108.69	101.64	（不要）	（不要）	0.0	0.0	（不要）		○				○															20.0	23	9															○														東武野田線	大和田	徒歩	15								
1441	埼玉県さいたま市岩槻区城南	138.4	138.4	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	公道	3.3	7.8	西	公道	3.3	17.5	北	私道	4.0	7.9			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	350	1100	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	防火指定無						（無）	55000	95900	76000	136.1	2.3	0.0	136.1	136.1	105.16	105.16	136.1	105.16	（不要）	（不要）	0.0	0.0	（要）	35.0	○				○															27.0	5	14	○							○													○	○							東武野田線	岩槻	バス	8		4.0						
1442	埼玉県三郷市戸ヶ崎	116.79	115.89	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	7.9	4.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	720	1120	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域	0.0					（無）	87000	101000	80800	116.79	0.0	0.0	116.79	116.79	104.33	104.33	116.79	104.33	（不要）	（不要）	0.0	0.0	（不要）	0.0																				8.0	9	14																													首都圏新都市鉄道つくばエクスプレス	三郷中央	徒歩	25								
1443	埼玉県春日部市緑町	101.57	101.57	準工業地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	公道	4.5	11.2			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	372	722	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	防火指定無						（無）	67000	81500	86800	101.57	0.0	0.0	101.57	101.57	104.34	104.34	101.57	104.34	（不要）	（不要）	0.0	0.0	（要）	35.0	○	○			○															13.0	5	10	○							○							○							○							東武伊勢崎線	春日部	バス	10		2.0						
1444	埼玉県北足立郡伊奈町栄	134.07	134.07	第一種住居地域		60	0.0	200	0.0	公営	公共下水	集中プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	公道	6.0	11.3	西	公道	6.0	8.0			0.0	0.0			0.0	0.0	（有）	101.88	0.6	（無）	（不要）	800	1440	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	69000	103000	103000	134.07	0.0	0.0	134.66	134.66	107.65	107.65	134.07	0.0	（不要）	（不要）	0.0	0.0	（不要）		○				○															12.0	10	18	○																					○							JR東北本線【宇都宮線】	蓮田	徒歩	17								
1445	埼玉県入間市久保稲荷	391.0	391.0	第一種低層住居専用地域	第二種低層住居専用地域	50	50.0	80	80.0	公営	公共下水	個別プロパン	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	東	公道	6.0	16.2													（有）	200.0	0.0	（無）	（不要）	160	300	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	89000	108000	1000	389.0	0.0	2.0	117.0	153.0	94.0	101.0	130.33	96.66	（不要）	（不要）	0.0	0.0	（不要）	0.0	○				○															3.0	2	4	○							○													○	○							西武池袋線	入間市	徒歩	26								
1446	埼玉県春日部市栄町	315.86	317.08	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南	公道	4.8	12.0			0.0	0.0			0.0	0.0			0.0	0.0	（有）	176.57	0.4	（無）	（不要）	1480	1160	実測	建物有	市街化区域		その他	（無）	（無）	（不要）	（不要）	（要）	22条区域						（無）	66000	83500	83500	315.86	0.0	0.0	145.39	170.46	92.57	92.57	157.93	92.57	（不要）	（不要）	0.0	0.0	（不要）						○															15.0	19	15	○							○														○							東武野田線	八木崎	徒歩	14								
1447	埼玉県東松山市加美町	447.0	536.0	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	北	公道	6.0	27.5			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.9	（無）	（不要）	460	740	公簿	更地	市街化区域		指定無	（有）	（無）	（不要）	（不要）	（要）	防火指定無						（無）	46000	56400	61600	447.0	0.0	0.0	217.0	230.0	106.81	115.09	223.5	110.95	（不要）	（不要）	0.0	0.0	（不要）		○				○															3.0	6	10	○							○									○												東武東上線	東松山	徒歩	15								
1448	埼玉県日高市大字高萩	147.19	271.1	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	集中プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南西	公道	7.2	10.3			0.0	0.0			0.0	0.0			0.0	0.0	（有）	121.72	0.3	（無）	（不要）	240	160	実測	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	52000	72600	78400	271.1	0.0	0.0	147.19	147.19	103.09	103.09	271.1	103.09	（不要）	（不要）	0.0	0.0	（不要）			○			○															18.0	3	2	○							○							○							○							JR川越線	武蔵高萩	徒歩	4								
1449	埼玉県川口市柳崎	563.98	563.98	第二種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	北	公道	6.0	13.1	南	公道	18.0	14.4									（無）		0.1	（無）	（不要）	500	600	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	145000	204000	157000	563.98	0.0	0.0	128.7	153.47	89.9	98.01	140.99	94.76	（不要）	（不要）	0.0	0.0	（不要）	0.0					○				○											14.0	7	8			○					○																					JR武蔵野線	東浦和	徒歩	19								
1450	埼玉県鴻巣市松原	231.01	232.32	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	公道	4.0	12.5			0.0	0.0			0.0	0.0			0.0	0.0	（有）	120.0	0.5	（無）	（不要）	850	1500	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域	0.0					（無）	54000	75900	80200	231.01	0.0	0.0	232.32	232.32	118.0	118.0	231.01	118.0	（不要）	（不要）	0.0	0.0	（不要）	0.0	○				○															10.0	11	19							○	○							○														JR高崎線	北本	徒歩	27								
1451	埼玉県川口市大字安行領家	1109.36	1109.33	第一種低層住居専用地域		50	0.0	100	0.0	公営	個別浄化槽	個別プロパン	公共下水	8.0	0.0	0.0	0.0	8.0	0.0	南西	公道	7.4	20.0	南東	公道	1.8	20.0			0.0	0.0			0.0	0.0	（有）	121.23	0.0	（無）	（不要）	1420	1110	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	92000	112000	118000	953.06	153.15	3.15	113.97	123.69	99.63	103.68	138.67	101.9	（不要）	（不要）	0.0	0.0	（不要）	0.0																○				11.0	18	14							○	○							○							○							埼玉高速鉄道線	戸塚安行	徒歩	24								
1452	埼玉県志木市中宗岡	94.76	94.76	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	私道	4.2	10.3			0.0	0.0			0.0	0.0			0.0	0.0	（有）	75.32	0.2	（無）	（不要）	1200	800	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	125000	149000	149000	94.76	0.0	0.0	94.8	94.8	96.46	96.46	94.76	96.46	（不要）	（不要）	0.0	0.0	（要）	64.0	○				○															7.0	15	10	○							○							○							○							東武東上線	志木	バス	10		5.0						
1453	埼玉県川口市安行出羽	133.01	144.0	第一種低層住居専用地域		50		100		公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	公道	6.0	9.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.1	（無）	（不要）	120	730	公簿	更地	市街化区域		指定無	（有）	（無）	（不要）	（不要）	（不要）	防火指定無	130.0					（無）	110000	137000	118000	133.01	0.0	0.0	133.13	133.13	108.0	108.0	133.01	108.0	（不要）	（不要）	0.0	0.0	（不要）						○															12.0	2	10	○							○														○							埼玉高速鉄道線	戸塚安行	徒歩	23								
1454	埼玉県さいたま市南区大字大谷口	436.24	436.24	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	4.0	0.0	0.0	0.0	2.0	2.0	南	公道	5.9	15.0													（無）		0.0	（無）	（不要）	250	250	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	123000	184000	201000	436.24	0.0	0.0	98.23	121.07	90.72	104.33	109.06	97.28	（不要）	（不要）	0.0	0.0	（要）	43.0									○											5.0	4	4					○			○							○							○							JR京浜東北線	浦和	バス	10	広ヶ谷戸	8.0						
1455	埼玉県入間市宮寺	332.19	328.41	第一種低層住居専用地域		60	0.0	200	0.0	公営	個別浄化槽	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南西	公道	5.6	20.0	北西	公道	11.3	18.8			0.0	0.0			0.0	0.0	（有）	76.19	0.2	（無）	（不要）	640	2240	公簿	建物有	市街化調整区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	100.0					（無）	50000	36600	68800	332.19	0.0	0.0	332.19	332.19	112.4	112.4	332.19	110.96	（不要）	（不要）	0.0	0.0	（要）	59.0	○															○				49.0	8	28	○																												西武池袋線	小手指	バス	21		2.0						
1456	埼玉県草加市原町	1091.2	1091.2	第二種住居地域		60		200		公営	公共下水	個別プロパン	宅内処理	6.0	0.0	0.0	0.0	6.0	0.0	南東	公道	6.0	27.5	北	公道	71.0	32.3	東	公道	5.0	87.3					（無）	0.0	1.9	（有）	（不要）	1000	1300	公簿	建物有	市街化区域		指定無	（無）	（無）	（要）	（不要）	（不要）	防火指定無	120.0	景観法				（無）	86000	99000	114000	850.02	238.14	3.04	140.0	143.43	105.99	105.99	141.67	105.99	（不要）	（不要）			（要）	52.0	○	○			○										○					13.0	13	17			○					○																					東武伊勢崎線	獨協大学前駅〈草加松原〉	バス	8	草加西高校入口	5.0			バス			
1457	埼玉県狭山市入間川	982.08	1443.37	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	8.0	0.0	0.0	0.0	8.0	0.0	南西	公道	8.0	14.5	北西	公道	6.3	17.7	北東	公道	2.5	23.4			0.0	0.0	（有）	209.29	1.5	（無）	（要）	720	1120	実測	造成上り	市街化区域		指定無	（無）	（無）	（要）	（不要）	（不要）	22条区域	165.0					（無）	93000	105000	105000	979.71	0.0	0.0	115.21	146.24	102.48	102.48	122.46	102.48	（不要）	（不要）	0.0	0.0	（不要）	0.0	○		○		○	○													○	15.0	9	14	○														○							○							西武新宿線	狭山市	徒歩	14								
1458	埼玉県さいたま市見沼区堀崎町	1016.5	907.0	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	6.0	2.0	0.0	0.0	6.0	0.0	北	公道	6.0	55.3	南	公道	17.5	59.5			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	934	810	公簿	更地	市街化区域		指定無	（無）	（有）	（要）	（不要）	（不要）	防火指定無						（無）	105000	98000	141000	1014.5	0.0	2.0	113.07	169.65	96.88	105.99	126.81	103.64	（不要）	（不要）	0.0	0.0	（要）	42.0	○	○			○															6.0	12	11	○							○														○							JR東北本線【宇都宮線】	東大宮	徒歩	19								
1459	埼玉県さいたま市大宮区寿能町	417.68	417.68	第一種住居地域		40	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	東	公道	5.9	27.1	南	公道	10.0	32.2			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	1300	350	公簿	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（要）	（不要）	防火指定無	120.0					（無）	185000	223000	227000	417.68	0.0	0.0	132.39	145.11	94.77	98.01	139.22	96.12	（不要）	（不要）	0.0	0.0	（不要）	0.0	○	○			○	○														17.0	17	5	○							○							○														東武野田線	大宮公園	徒歩	4								
1460	埼玉県春日部市南	99.17	99.17	第二種中高層住居専用地域		60	0.0	200	0.0	私営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	私道	4.0	6.3			0.0	0.0			0.0	0.0			0.0	0.0	（有）	66.24	0.6	（無）	（不要）	688	1400	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	22条区域						（無）	79000	99800	101000	99.17	0.0	0.0	99.17	99.17	95.87	95.87	99.17	95.87	（不要）	（不要）	0.0	0.0	（不要）						○															5.0	9	18	○																					○							東武伊勢崎線	一ノ割	徒歩	9								
1461	埼玉県さいたま市西区大字西遊馬	220.98	222.58	指定のない区域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	公道	4.3	15.0			0.0	0.0			0.0	0.0			0.0	0.0	（有）	95.23	0.6	（無）	（不要）	1250	2150	実測	建物有	市街化区域		指定無	（無）	（無）	（要）	（要）	（要）	22条区域	150.0					（無）	87000	114000	114000	220.98	0.0	0.0	222.58	222.58	112.42	112.42	220.98	112.42	（要）	（要）	7.0	150.0	（不要）		○				○															8.0	16	27	○							○							○							○							JR川越線	指扇	徒歩	6								
1462	埼玉県上尾市今泉	225.85	225.0	第二種低層住居専用地域		50	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南	公道	9.2	10.0	西	公道	9.0	18.2			0.0	0.0			0.0	0.0	（無）	0.0	0.5	（無）	（不要）	401	603	公簿	建物有	市街化区域		指定無	（有）	（無）	（不要）	（不要）	（不要）	防火指定無	100.0	景観法				（無）	97000	135000	122000	225.85	0.0	0.0	112.72	113.13	105.99	105.99	112.92	105.99	（不要）	（不要）	0.0	0.0	（不要）	0.0					○	○														6.0	6	8	○													○						○							○		JR高崎線	上尾	徒歩	23					徒歩			
1463	埼玉県北足立郡伊奈町寿	639.36	638.0	第一種住居地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	北	公道	8.0	16.8	南	公道	6.0	12.5			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	850	1300	実測	更地	市街化区域		指定無	（無）	（無）	（要）	（不要）	（不要）	防火指定無						（無）	78000	93200	96600	639.36	0.0	0.0	152.55	167.55	105.99	105.99	159.84	105.99	（不要）	（不要）	0.0	0.0	（要）	30.0	○				○															6.0	11	17	○							○										○				○							埼玉新都市交通伊奈線【ニューシャトル】	手直し	徒歩	12								
1464	埼玉県吉川市大字上内川	103.6	103.6	指定のない区域		60	0.0	200	0.0	公営	個別浄化槽	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南東	私道	4.0	9.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	2340	4300	公簿	更地	市街化調整区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	24000	30200	65700	103.6	0.0	0.0	103.6	103.6	102.06	102.06	103.6	102.06	（不要）	（不要）	0.0	0.0	（不要）	0.0																				25.0	30	54																													東武野田線	愛宕	徒歩	46								
1465	埼玉県狭山市広瀬台	252.9	300.0	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南西	公道	6.0	14.3	南西	公道	10.0	17.2	北	公道	4.0	18.3			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	720	1200	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域	0.0		農地法	埋蔵文化財		（無）	70000	92500	90600	252.9	0.0	0.0	126.17	126.73	105.79	105.79	126.45	105.79	（不要）	（不要）	0.0	0.0	（要）	85.0	○				○															8.0	9	15	○																												西武新宿線	狭山市	バス	20		6.0						
1466	埼玉県さいたま市大宮区上小町	285.88	285.88	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	公共下水	3.0	0.0	0.0	0.0	0.0	3.0	西	公道	10.0	11.3			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	500	1100	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	140000	212000	119000	285.88	0.0	0.0	72.6	114.0	103.49	114.68	95.29	107.91	（不要）	（不要）	0.0	0.0	（要）	37.0		○			○															11.0	7	14	○																												JR東北本線【宇都宮線】	大宮	徒歩	3								
